"Metadata and common inputs rows 1-9, distinct models on rows 10+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Distinct observer simulations for MOM model M(3,3){s} with 3 classification states, 3 true species states, a primary observer, and 3 distinct secondary observers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Groups of size 1 (g=1), homogeneous groups (g>1), heterogeneous groups (pi>0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,reps,A,B,O_p,O_s,mx_model,n_bins,n_bootstrap,t_limit,,,,,,,,,,,,,,,,,,,,,,,,
M,99,3,3,1,3,constant,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_p,n_s,mix_12,mix_13,mix_23,theta_p_21,theta_p_31,theta_p_12,theta_p_32,theta_p_13,theta_p_23,theta_s1_21,theta_s1_31,theta_s1_12,theta_s1_32,theta_s1_13,theta_s1_23,theta_s2_21,theta_s2_31,theta_s2_12,theta_s2_32,theta_s2_13,theta_s2_23,theta_s3_21,theta_s3_31,theta_s3_12,theta_s3_32,theta_s3_13,theta_s3_23,psi_1,psi_2,g_1,g_2,g_3
1800,1800,0,0,0,0.15,0.2,0.2,0.25,0.25,0.15,0.1,0.12,0.05,0.08,0.12,0.09,0.07,0.09,0.04,0.06,0.09,0.06,0.05,0.05,0.15,0.05,0.2,0.15,0.4,0.3,1,1,1
1800,1800,0,0,0,0.15,0.2,0.2,0.25,0.25,0.15,0.1,0.12,0.05,0.08,0.12,0.09,0.07,0.09,0.04,0.06,0.09,0.06,0.05,0.05,0.15,0.05,0.2,0.15,0.1,0.45,1,1,1
1209,1209,0,0,0,0.15,0.2,0.2,0.25,0.25,0.15,0.1,0.12,0.05,0.08,0.12,0.09,0.07,0.09,0.04,0.06,0.09,0.06,0.05,0.05,0.15,0.05,0.2,0.15,0.4,0.3,1.1,2,1.5
1069,1069,0,0,0,0.15,0.2,0.2,0.25,0.25,0.15,0.1,0.12,0.05,0.08,0.12,0.09,0.07,0.09,0.04,0.06,0.09,0.06,0.05,0.05,0.15,0.05,0.2,0.15,0.1,0.45,1.1,2,1.5
1209,1209,0.05,0.15,0.1,0.15,0.2,0.2,0.25,0.25,0.15,0.1,0.12,0.05,0.08,0.12,0.09,0.07,0.09,0.04,0.06,0.09,0.06,0.05,0.05,0.15,0.05,0.2,0.15,0.4,0.3,1.1,2,1.5
